mq1,tgs1,timestamp,day,session,species
194,326,2024-01-29 10:06:09.629341,2024-01-29,1,tuna
195,326,2024-01-29 10:06:10.841020,2024-01-29,1,tuna
195,326,2024-01-29 10:06:12.054364,2024-01-29,1,tuna
197,325,2024-01-29 10:06:13.258154,2024-01-29,1,tuna
214,289,2024-01-29 10:06:48.666804,2024-01-29,1,tuna
220,289,2024-01-29 10:06:49.772732,2024-01-29,1,tuna
217,292,2024-01-29 10:06:50.974650,2024-01-29,1,tuna
214,294,2024-01-29 10:06:52.174720,2024-01-29,1,tuna
219,292,2024-01-29 10:06:53.374307,2024-01-29,1,tuna
220,293,2024-01-29 10:06:54.593119,2024-01-29,1,tuna
220,295,2024-01-29 10:06:55.789244,2024-01-29,1,tuna
218,296,2024-01-29 10:06:56.994956,2024-01-29,1,tuna
215,298,2024-01-29 10:06:58.210659,2024-01-29,1,tuna
219,299,2024-01-29 10:06:59.408745,2024-01-29,1,tuna
216,302,2024-01-29 10:07:00.612673,2024-01-29,1,tuna
213,302,2024-01-29 10:07:01.826847,2024-01-29,1,tuna
214,302,2024-01-29 10:07:03.020518,2024-01-29,1,tuna
217,304,2024-01-29 10:07:04.239972,2024-01-29,1,tuna
216,307,2024-01-29 10:07:05.443188,2024-01-29,1,tuna
217,308,2024-01-29 10:07:06.646565,2024-01-29,1,tuna
214,315,2024-01-29 10:07:07.846213,2024-01-29,1,tuna
214,312,2024-01-29 10:07:09.051491,2024-01-29,1,tuna
216,308,2024-01-29 10:07:10.256981,2024-01-29,1,tuna
218,310,2024-01-29 10:07:11.458383,2024-01-29,1,tuna
211,306,2024-01-29 10:07:12.667907,2024-01-29,1,tuna
212,280,2024-01-29 10:07:37.867835,2024-01-29,1,tuna
212,284,2024-01-29 10:07:38.980880,2024-01-29,1,tuna
213,281,2024-01-29 10:07:40.168006,2024-01-29,1,tuna
213,284,2024-01-29 10:07:41.381986,2024-01-29,1,tuna
211,285,2024-01-29 10:07:42.578273,2024-01-29,1,tuna
215,286,2024-01-29 10:07:43.793063,2024-01-29,1,tuna
211,286,2024-01-29 10:07:45.000355,2024-01-29,1,tuna
211,288,2024-01-29 10:07:46.200474,2024-01-29,1,tuna
211,289,2024-01-29 10:07:47.405900,2024-01-29,1,tuna
212,293,2024-01-29 10:07:48.611793,2024-01-29,1,tuna
216,291,2024-01-29 10:07:49.811947,2024-01-29,1,tuna
209,292,2024-01-29 10:07:51.015648,2024-01-29,1,tuna
209,293,2024-01-29 10:07:52.233207,2024-01-29,1,tuna
212,292,2024-01-29 10:07:53.427629,2024-01-29,1,tuna
217,294,2024-01-29 10:07:54.634299,2024-01-29,1,tuna
215,295,2024-01-29 10:07:55.849880,2024-01-29,1,tuna
213,295,2024-01-29 10:07:57.055357,2024-01-29,1,tuna
211,298,2024-01-29 10:07:58.255723,2024-01-29,1,tuna
212,297,2024-01-29 10:07:59.461897,2024-01-29,1,tuna
210,300,2024-01-29 10:08:00.673332,2024-01-29,1,tuna
209,302,2024-01-29 10:08:01.881400,2024-01-29,1,tuna
209,262,2024-01-29 10:08:26.464749,2024-01-29,1,tuna
210,260,2024-01-29 10:08:27.581095,2024-01-29,1,tuna
203,264,2024-01-29 10:08:28.764008,2024-01-29,1,tuna
212,267,2024-01-29 10:08:29.974431,2024-01-29,1,tuna
209,274,2024-01-29 10:08:31.183548,2024-01-29,1,tuna
209,273,2024-01-29 10:08:32.384844,2024-01-29,1,tuna
203,278,2024-01-29 10:08:33.594085,2024-01-29,1,tuna
209,276,2024-01-29 10:08:34.797556,2024-01-29,1,tuna
208,277,2024-01-29 10:08:36.010271,2024-01-29,1,tuna
205,276,2024-01-29 10:08:37.204369,2024-01-29,1,tuna
205,279,2024-01-29 10:08:38.421288,2024-01-29,1,tuna
207,279,2024-01-29 10:08:39.619884,2024-01-29,1,tuna
212,278,2024-01-29 10:08:40.833119,2024-01-29,1,tuna
201,277,2024-01-29 10:08:42.036874,2024-01-29,1,tuna
197,277,2024-01-29 10:08:43.238436,2024-01-29,1,tuna
196,280,2024-01-29 10:08:44.445992,2024-01-29,1,tuna
201,279,2024-01-29 10:08:45.649097,2024-01-29,1,tuna
198,281,2024-01-29 10:08:46.859163,2024-01-29,1,tuna
196,283,2024-01-29 10:08:48.057516,2024-01-29,1,tuna
193,281,2024-01-29 10:08:49.270265,2024-01-29,1,tuna
193,282,2024-01-29 10:08:50.475817,2024-01-29,1,tuna
219,333,2024-01-29 10:09:15.949770,2024-01-29,1,tuna
219,333,2024-01-29 10:09:17.054821,2024-01-29,1,tuna
218,333,2024-01-29 10:09:18.253903,2024-01-29,1,tuna
215,336,2024-01-29 10:09:19.458024,2024-01-29,1,tuna
219,343,2024-01-29 10:09:20.654122,2024-01-29,1,tuna
215,352,2024-01-29 10:09:21.860249,2024-01-29,1,tuna
219,353,2024-01-29 10:09:23.064364,2024-01-29,1,tuna
215,368,2024-01-29 10:09:24.271483,2024-01-29,1,tuna
221,385,2024-01-29 10:09:25.482608,2024-01-29,1,tuna
221,399,2024-01-29 10:09:26.679711,2024-01-29,1,tuna
218,410,2024-01-29 10:09:27.892841,2024-01-29,1,tuna
221,417,2024-01-29 10:09:29.101966,2024-01-29,1,tuna
227,425,2024-01-29 10:09:30.311091,2024-01-29,1,tuna
226,428,2024-01-29 10:09:31.503196,2024-01-29,1,tuna
229,433,2024-01-29 10:09:32.720340,2024-01-29,1,tuna
230,437,2024-01-29 10:09:33.924450,2024-01-29,1,tuna
228,442,2024-01-29 10:09:35.132567,2024-01-29,1,tuna
229,441,2024-01-29 10:09:36.325676,2024-01-29,1,tuna
235,443,2024-01-29 10:09:37.531509,2024-01-29,1,tuna
236,445,2024-01-29 10:09:38.737140,2024-01-29,1,tuna
222,445,2024-01-29 10:09:39.956085,2024-01-29,1,tuna
194,358,2024-01-29 10:10:07.484821,2024-01-29,1,tuna
200,358,2024-01-29 10:10:08.602819,2024-01-29,1,tuna
196,358,2024-01-29 10:10:09.770296,2024-01-29,1,tuna
192,358,2024-01-29 10:10:10.988479,2024-01-29,1,tuna
193,359,2024-01-29 10:10:12.184000,2024-01-29,1,tuna
196,360,2024-01-29 10:10:13.389866,2024-01-29,1,tuna
189,360,2024-01-29 10:10:14.600507,2024-01-29,1,tuna
189,358,2024-01-29 10:10:15.800446,2024-01-29,1,tuna
190,360,2024-01-29 10:10:17.005609,2024-01-29,1,tuna
194,360,2024-01-29 10:10:18.222316,2024-01-29,1,tuna
193,359,2024-01-29 10:10:19.418610,2024-01-29,1,tuna
189,360,2024-01-29 10:10:20.621925,2024-01-29,1,tuna
190,359,2024-01-29 10:10:21.837375,2024-01-29,1,tuna
190,360,2024-01-29 10:10:23.037168,2024-01-29,1,tuna
193,361,2024-01-29 10:10:24.239388,2024-01-29,1,tuna
193,360,2024-01-29 10:10:25.450116,2024-01-29,1,tuna
196,361,2024-01-29 10:10:26.652049,2024-01-29,1,tuna
190,365,2024-01-29 10:10:27.867564,2024-01-29,1,tuna
189,360,2024-01-29 10:10:29.066262,2024-01-29,1,tuna
192,361,2024-01-29 10:10:30.276484,2024-01-29,1,tuna
194,359,2024-01-29 10:10:31.468999,2024-01-29,1,tuna
198,330,2024-01-29 10:10:59.567427,2024-01-29,1,tuna
200,328,2024-01-29 10:11:00.670568,2024-01-29,1,tuna
196,325,2024-01-29 10:11:01.851009,2024-01-29,1,tuna
195,326,2024-01-29 10:11:03.058432,2024-01-29,1,tuna
194,325,2024-01-29 10:11:04.261537,2024-01-29,1,tuna
193,325,2024-01-29 10:11:05.472665,2024-01-29,1,tuna
196,331,2024-01-29 10:11:06.677792,2024-01-29,1,tuna
199,329,2024-01-29 10:11:07.882909,2024-01-29,1,tuna
203,327,2024-01-29 10:11:09.086015,2024-01-29,1,tuna
197,326,2024-01-29 10:11:10.295151,2024-01-29,1,tuna
199,327,2024-01-29 10:11:11.498263,2024-01-29,1,tuna
195,327,2024-01-29 10:11:12.701383,2024-01-29,1,tuna
200,327,2024-01-29 10:11:13.910506,2024-01-29,1,tuna
196,325,2024-01-29 10:11:15.115629,2024-01-29,1,tuna
191,325,2024-01-29 10:11:16.320745,2024-01-29,1,tuna
195,326,2024-01-29 10:11:17.526872,2024-01-29,1,tuna
200,327,2024-01-29 10:11:18.731018,2024-01-29,1,tuna
196,327,2024-01-29 10:11:19.938125,2024-01-29,1,tuna
198,325,2024-01-29 10:11:21.154753,2024-01-29,1,tuna
200,325,2024-01-29 10:11:22.351872,2024-01-29,1,tuna
193,324,2024-01-29 10:11:23.564996,2024-01-29,1,tuna
176,319,2024-01-29 10:11:46.786874,2024-01-29,1,tuna
173,320,2024-01-29 10:11:47.906598,2024-01-29,1,tuna
177,324,2024-01-29 10:11:49.070560,2024-01-29,1,tuna
175,326,2024-01-29 10:11:50.284559,2024-01-29,1,tuna
173,326,2024-01-29 10:11:51.493174,2024-01-29,1,tuna
170,329,2024-01-29 10:11:52.689081,2024-01-29,1,tuna
174,326,2024-01-29 10:11:53.897616,2024-01-29,1,tuna
171,331,2024-01-29 10:11:55.103759,2024-01-29,1,tuna
174,331,2024-01-29 10:11:56.302594,2024-01-29,1,tuna
180,328,2024-01-29 10:11:57.519141,2024-01-29,1,tuna
171,329,2024-01-29 10:11:58.727290,2024-01-29,1,tuna
176,328,2024-01-29 10:11:59.931544,2024-01-29,1,tuna
177,330,2024-01-29 10:12:01.125063,2024-01-29,1,tuna
173,328,2024-01-29 10:12:02.342529,2024-01-29,1,tuna
180,330,2024-01-29 10:12:03.536601,2024-01-29,1,tuna
178,330,2024-01-29 10:12:04.748801,2024-01-29,1,tuna
172,332,2024-01-29 10:12:05.962513,2024-01-29,1,tuna
169,330,2024-01-29 10:12:07.156610,2024-01-29,1,tuna
170,331,2024-01-29 10:12:08.358394,2024-01-29,1,tuna
170,332,2024-01-29 10:12:09.567322,2024-01-29,1,tuna
173,334,2024-01-29 10:12:10.779388,2024-01-29,1,tuna
164,328,2024-01-29 10:13:52.221748,2024-01-29,1,tuna
159,329,2024-01-29 10:13:53.330612,2024-01-29,1,tuna
159,329,2024-01-29 10:13:54.531173,2024-01-29,1,tuna
160,328,2024-01-29 10:13:55.734101,2024-01-29,1,tuna
159,329,2024-01-29 10:13:56.932907,2024-01-29,1,tuna
161,329,2024-01-29 10:13:58.148758,2024-01-29,1,tuna
160,328,2024-01-29 10:13:59.352798,2024-01-29,1,tuna
160,331,2024-01-29 10:14:00.549182,2024-01-29,1,tuna
